product_id,product_name,brand_id,category_id,model_year,list_price,Category_name
263,Strider Classic 12 Balance Bike - 2018,6,1,2018,89.99,Children Bicycles
84,Sun Bicycles Lil Kitt'n - 2017,7,1,2017,109.99,Children Bicycles
83,Trek Boy's Kickster - 2015/2017,9,1,2017,149.99,Children Bicycles
86,Trek Girl's Kickster - 2017,9,1,2017,149.99,Children Bicycles
268,Trek Kickster - 2018,9,1,2018,159.99,Children Bicycles
87,Trek Precaliber 12 Boys - 2017,9,1,2017,189.99,Children Bicycles
88,Trek Precaliber 12 Girls - 2017,9,1,2017,189.99,Children Bicycles
267,Trek Precaliber 12 Girl's - 2018,9,1,2018,199.99,Children Bicycles
269,Trek Precaliber 12 Boy's - 2018,9,1,2018,199.99,Children Bicycles
89,Trek Precaliber 16 Boys - 2017,9,1,2017,209.99,Children Bicycles
90,Trek Precaliber 16 Girls - 2017,9,1,2017,209.99,Children Bicycles
92,Haro Shredder 20 - 2017,2,1,2017,209.99,Children Bicycles
93,Haro Shredder 20 Girls - 2017,2,1,2017,209.99,Children Bicycles
270,Trek Precaliber 16 Boy's - 2018,9,1,2018,209.99,Children Bicycles
271,Trek Precaliber 16 Girl's - 2018,9,1,2018,209.99,Children Bicycles
274,Trek Precaliber 20 Boy's - 2018,9,1,2018,229.99,Children Bicycles
275,Trek Precaliber 20 Girl's - 2018,9,1,2018,229.99,Children Bicycles
94,Haro Shredder Pro 20 - 2017,2,1,2017,249.99,Children Bicycles
262,Trek MT 201 - 2018,9,1,2018,249.99,Children Bicycles
264,Strider Sport 16 - 2018,6,1,2018,249.99,Children Bicycles
66,Sun Bicycles Revolutions 24 - 2017,7,3,2017,250.99,Cruisers Bicycles
67,Sun Bicycles Revolutions 24 - Girl's - 2017,7,3,2017,250.99,Cruisers Bicycles
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,Cruisers Bicycles
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,Cruisers Bicycles
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,Children Bicycles
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,Children Bicycles
213,Electra Cruiser 1 - 2016/2017/2018,1,3,2018,269.99,Cruisers Bicycles
220,Electra Cruiser 1 Ladies' - 2018,1,3,2018,269.99,Cruisers Bicycles
222,Electra Cruiser 1 Tall - 2016/2018,1,3,2018,269.99,Cruisers Bicycles
282,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,1,1,2018,279.99,Children Bicycles
285,Electra Soft Serve 1 (16-inch) - Girl's - 2018,1,1,2018,279.99,Children Bicycles
286,"Electra Starship 1 16"" - 2018",1,1,2018,279.99,Children Bicycles
287,Electra Straight 8 1 (16-inch) - Boy's - 2018,1,1,2018,279.99,Children Bicycles
297,"Electra Under-The-Sea 1 16"" - 2018",1,1,2018,279.99,Children Bicycles
298,Electra Water Lily 1 (16-inch) - Girl's - 2018,1,1,2018,279.99,Children Bicycles
265,Strider Strider 20 Sport - 2018,6,1,2018,289.99,Children Bicycles
272,Trek Precaliber 20 6-speed Boy's - 2018,9,1,2018,289.99,Children Bicycles
273,Trek Precaliber 20 6-speed Girl's - 2018,9,1,2018,289.99,Children Bicycles
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,Children Bicycles
76,"Electra Girl's Hawaii 1 16"" - 2017",1,3,2017,299.99,Cruisers Bicycles
95,"Electra Girl's Hawaii 1 16"" - 2017",1,1,2017,299.99,Children Bicycles
99,Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,1,1,2017,299.99,Children Bicycles
218,Electra Cruiser 7D - 2016/2017/2018,1,3,2018,319.99,Cruisers Bicycles
221,Electra Cruiser 7D Ladies' - 2016/2018,1,3,2018,319.99,Cruisers Bicycles
227,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,1,3,2018,319.99,Cruisers Bicycles
228,Electra Cruiser 7D Tall - 2016/2018,1,3,2018,319.99,Cruisers Bicycles
276,Trek Precaliber 24 (7-Speed) - Boys - 2018,9,1,2018,319.99,Children Bicycles
279,Trek Precaliber 24 7-speed Girl's - 2018,9,1,2018,319.99,Children Bicycles
281,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,1,1,2018,319.99,Children Bicycles
283,Electra Heartchya 1 (20-inch) - Girl's - 2018,1,1,2018,319.99,Children Bicycles
284,Electra Savannah 1 (20-inch) - Girl's - 2018,1,1,2018,319.99,Children Bicycles
